player_name,overall_pick,ncaa_stocks,ncaa_ast_tov_ratio,ncaa_per,ncaa_ts_pct,ncaa_bpm,ncaa_usg_pct,ncaa_class,height_in,ape_index,vertical_in
AJ Dybantsa,1,2.8,1.74,28.8,0.6,9.0,34.0,FR,78.0,3.5,32.0
Darryn Peterson,2,5.2,1.51,26.3,0.578,8.5,33.7,FR,78.0,3.5,32.0
Cam Boozer,3,4.7,2.01,34.7,0.653,11.5,30.0,FR,78.0,3.5,32.0
Caleb Wilson,4,7.0,1.58,31.2,0.626,10.0,28.2,FR,78.0,3.5,32.0
Darius Acuff Jr.,5,2.2,3.2,25.8,0.604,7.5,29.4,FR,78.0,3.5,32.0
Keaton Wagler,6,1.8,1.4,23.5,0.59,5.8,25.0,FR,78.0,3.5,32.0
Kingston Flemings,7,2.3,1.8,24.1,0.58,6.2,26.4,FR,78.0,3.5,32.0
Mikel Brown Jr.,8,1.9,1.6,22.8,0.57,5.5,24.5,FR,78.0,3.5,32.0
Nate Ament,9,2.5,1.2,22.0,0.565,5.2,23.0,FR,78.0,3.5,32.0
Brayden Burries,10,2.1,1.3,21.5,0.585,5.0,22.5,FR,78.0,3.5,32.0
Yaxel Lendeborg,11,6.5,2.16,26.1,0.646,9.5,20.5,SR,78.0,3.5,32.0
Aday Mara,12,12.7,1.06,26.7,0.659,8.2,23.1,JR,78.0,3.5,32.0
Karim Lopez,13,4.1,0.9,19.5,0.54,4.8,22.0,FR,78.0,3.5,32.0
Labaron Philon Jr.,14,3.2,2.4,20.8,0.555,5.5,21.5,SO,78.0,3.5,32.0
Hannes Steinbach,15,5.8,0.8,22.5,0.61,6.1,19.0,FR,78.0,3.5,32.0
Jayden Quaintance,16,6.2,0.7,23.1,0.595,6.4,24.2,SO,78.0,3.5,32.0
Bennett Stirtz,17,3.5,2.9,21.4,0.58,6.2,18.5,SR,78.0,3.5,32.0
Cameron Carr,18,3.1,1.1,20.5,0.57,5.4,22.0,SO,78.0,3.5,32.0
Chris Cenac Jr.,19,5.5,0.9,21.8,0.605,5.9,20.2,FR,78.0,3.5,32.0
Dailyn Swain,20,4.5,1.4,19.2,0.545,4.2,19.5,JR,78.0,3.5,32.0
Christian Anderson Jr.,21,1.8,2.6,20.1,0.575,5.1,23.0,SO,78.0,3.5,32.0
Koa Peat,22,3.8,1.3,24.5,0.585,7.2,28.5,FR,78.0,3.5,32.0
Isaiah Evans,23,2.5,1.2,18.8,0.55,4.0,24.0,SO,78.0,3.5,32.0
Meleek Thomas,24,3.2,1.8,22.4,0.57,5.8,27.5,FR,78.0,3.5,32.0
Alex Karaban,25,3.0,1.5,21.2,0.63,7.1,19.5,SR,78.0,3.5,32.0
Zuby Ejiofor,26,7.5,0.6,20.4,0.59,5.3,17.2,SR,78.0,3.5,32.0
Tarris Reed Jr.,27,10.4,1.32,29.3,0.614,8.8,26.2,SR,78.0,3.5,32.0
Milan Momcilovic,28,1.5,1.1,18.5,0.58,4.5,21.0,JR,78.0,3.5,32.0
Maliq Brown,29,8.5,1.9,24.5,0.64,9.2,18.5,SR,78.0,3.5,32.0
Josh Jefferson,30,5.2,1.0,19.8,0.585,5.0,20.0,SR,78.0,3.5,32.0
Dash Daniels,31,2.8,2.1,17.5,0.53,3.8,22.5,FR,78.0,3.5,32.0
Luigi Suigo,32,9.1,0.5,18.2,0.62,4.1,16.5,FR,78.0,3.5,32.0
Tounde Yessoufou,33,4.2,1.1,21.5,0.565,5.5,25.4,FR,78.0,3.5,32.0
John Blackwell,34,2.5,1.7,19.1,0.575,4.9,22.2,JR,78.0,3.5,32.0
Ebuka Okorie,35,3.1,2.3,17.8,0.525,3.9,21.0,FR,78.0,3.5,32.0
Juke Harris,36,2.2,1.2,19.5,0.56,4.4,24.5,SO,78.0,3.5,32.0
Malachi Moreno,37,8.2,0.8,20.1,0.615,5.1,17.5,FR,78.0,3.5,32.0
Tamin Lipsey,38,4.5,3.1,21.8,0.56,7.8,19.0,SR,78.0,3.5,32.0
Braden Smith,39,3.2,3.5,20.5,0.59,7.5,18.5,SR,78.0,3.5,32.0
Flory Bidunga,40,7.8,0.7,22.1,0.635,6.5,18.0,SO,78.0,3.5,32.0
Otega Oweh,41,4.1,1.4,18.4,0.555,4.3,20.2,SR,78.0,3.5,32.0
Darrion Williams,42,3.8,1.9,19.2,0.57,5.2,18.2,SR,78.0,3.5,32.0
Rueben Chinyelu,43,11.5,0.4,18.8,0.625,4.8,15.5,JR,78.0,3.5,32.0
Baba Miller,44,4.5,1.6,17.2,0.54,4.1,19.0,SR,78.0,3.5,32.0
Jaden Bradley,45,2.8,2.8,18.1,0.565,5.1,18.5,SR,78.0,3.5,32.0
Milos Uzan,46,2.5,3.2,17.4,0.53,4.5,17.0,SR,78.0,3.5,32.0
Bruce Thornton,47,2.2,3.0,19.5,0.575,5.8,22.0,SR,78.0,3.5,32.0
Kylan Boswell,48,2.6,2.7,18.5,0.56,5.2,20.0,SR,78.0,3.5,32.0
Trevon Brazile,49,6.5,0.8,17.8,0.595,4.2,16.5,SR,78.0,3.5,32.0
Nate Bittle,50,8.2,0.7,19.2,0.605,4.9,18.0,SR,78.0,3.5,32.0
Emanuel Sharp,51,2.8,1.4,17.2,0.585,4.0,21.5,SR,78.0,3.5,32.0
Tyler Tanner,52,2.5,2.1,16.8,0.52,3.5,20.0,FR,78.0,3.5,32.0
Rafael Castro,53,7.1,0.5,16.5,0.59,3.2,15.2,SR,78.0,3.5,32.0
Ognjen Srzentic,54,1.8,2.3,15.8,0.51,2.9,19.5,FR,78.0,3.5,32.0
AJ Storr,55,1.5,0.9,17.5,0.55,3.1,25.0,SR,78.0,3.5,32.0
Mark Mitchell,56,4.2,1.1,18.1,0.57,4.4,19.5,SR,78.0,3.5,32.0
Matt Able,57,2.2,1.3,16.5,0.545,3.2,20.5,FR,78.0,3.5,32.0
Shelton Henderson,58,3.5,1.5,20.2,0.56,5.1,26.0,FR,78.0,3.5,32.0
Sadiq White,59,5.2,0.8,19.5,0.58,4.8,21.0,FR,78.0,3.5,32.0
Jasper Johnson,60,2.1,1.9,21.8,0.575,5.9,28.5,FR,78.0,3.5,32.0
